stock_id,symbol,stock_name,sector,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vp_ratio_stock,vp_score_stock,rsi14,above_50ma,ma50,amp_10d_pct,vcp,high_52w,pct_from_high,pv_state_4w,pv_state_13w,pv_state_26w,pv_verdict,trend_state,trend_pattern,trend_signal,explosive_verdict,vol_today,vol_10d_avg,trade_value_20d_est_NTD_M,inst_foreign_net_20d_shares,inst_trust_net_20d_shares,inst_dealer_net_20d_shares,inst_total_net_20d_shares,inst_total_net_20d_est_NTD_M,point_rank_in_sector,vp_score_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
2345,2345,智邦,電子工業,2026-09-18,1855.0,-10.39,-27.95,28.5,4.67,0.333,-1.59,-8.85,8,10,3127384,3310478,0.8,0.945,72.59,38.21,False,2123.98,19.08,False,2802.81,-33.82,P-V+,P-V-,P+V-,➡️ 中性,收斂,頭頭低·底底高,多轉空預警 / 空轉多預警 / 空頭確認,,5621672,3369221,124258.7,-1084320.0,-8645417.0,416199.0,-9313538.0,-17276.6,30.0,35.0,32.5,33.0,
2360,2360,致茂,電子工業,2026-09-18,2290.0,10.63,-0.87,57.1,30.99,0.667,6.02,9.05,11,9,2235845,1657213,1.222,1.349,99.78,59.93,True,2061.9,19.22,False,2771.56,-17.37,P+V-,P-V-,P+V-,⚠️ 量能背離,多頭,頭頭高·底底高,,,2467978,2242980,84039.5,1849367.0,-218652.0,253783.0,1884498.0,4315.5,14.0,11.0,12.5,10.0,
2885,2885,元大金,金融保險,2026-09-18,70.0,12.18,8.93,67.85,39.2,1.0,0.0,9.38,13,4,23076094,20703069,3.25,1.115,100.0,61.22,True,64.96,3.87,False,70.9,-1.27,P+V-,P+V-,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,空轉多預警,,48602268,20862328,28764.1,63023335.0,-14707900.0,-791147.0,47524288.0,3326.7,4.0,1.0,2.5,3.0,
3443,3443,創意,電子工業,2026-09-18,7150.0,33.27,50.37,213.65,127.73,1.0,16.83,27.68,12,8,1894190,1706919,1.5,1.11,100.0,72.04,True,5113.4,23.15,False,7150.0,0.0,P+V-,P+V-,P+V-,⚠️ 量能衰竭,多頭,頭頭高·底底高,多頭確認,🔥 追高風險,2507803,1827725,221718.9,-598424.0,1399965.0,-126302.0,675239.0,4828.0,1.0,1.0,1.0,1.0,
3008,3008,大立光,電子工業,2026-09-18,6430.0,19.41,25.14,176.25,99.26,1.0,-3.45,14.62,11,9,2446651,2034558,1.222,1.203,96.77,54.04,True,5284.18,19.57,False,7995.0,-19.57,P+V-,P+V+,P+V+,⚠️ 頂部背離,擴散,頭頭高·底底低,,🔥 追高風險,2691196,2050086,302749.0,-887750.0,79438.0,378043.0,-430269.0,-2766.6,3.0,13.0,8.0,5.0,吃老本
6505,6505,台塑化,油電燃氣業,2026-09-18,86.5,23.75,63.83,56.02,49.91,1.0,3.47,14.12,11,9,25073433,27785177,1.222,0.902,93.98,64.01,True,75.79,14.72,False,97.9,-11.64,P+V-,P+V+,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,,,22091016,30083826,42121.3,-17287900.0,21111592.0,834935.0,4658627.0,403.0,1.0,1.0,1.0,1.0,
2884,2884,玉山金,金融保險,2026-09-18,46.4,21.63,35.1,49.97,39.17,1.0,0.22,22.11,14,5,49606595,48314579,2.8,1.027,100.0,71.25,True,39.25,8.98,False,47.35,-2.01,P+V+,P+V+,P+V+,⭐⭐⭐ 完美多頭,多頭,頭頭高·底底高,多頭確認,🚀 暴漲中,89161294,53848016,42938.1,-22209872.0,84037546.0,1365234.0,63192908.0,2932.2,5.0,1.0,3.0,4.0,
3653,3653,健策,電子零組件業,2026-09-18,5525.0,7.18,44.77,49.24,37.61,1.0,-4.16,2.41,10,10,1077929,1297397,1.0,0.831,79.32,54.57,True,4655.28,14.17,False,6095.0,-9.35,P+V-,P+V-,P+V-,⚠️ 量能衰竭,多頭,頭頭高·底底高,空轉多預警,,1008538,1081175,132587.9,863187.0,46654.0,-49356.0,860485.0,4754.2,7.0,10.0,8.5,9.0,
2344,2344,華邦電,電子工業,2026-09-18,179.5,1.41,-19.14,46.11,18.62,0.667,4.66,-0.83,11,9,136972340,111819638,1.222,1.225,91.14,53.83,True,168.44,19.25,False,233.5,-23.13,P+V-,P-V-,P+V-,⚠️ 量能背離,收斂,頭頭低·底底高,,,136049588,113547688,446623.2,-11647115.0,-33974147.0,-2853506.0,-48474768.0,-8701.2,19.0,22.0,20.5,24.0,
2886,2886,兆豐金,金融保險,2026-09-18,51.1,9.07,18.45,34.7,24.23,1.0,-1.16,8.84,10,10,31436602,25659591,1.0,1.225,91.28,58.19,True,48.22,7.05,False,52.9,-3.4,P+V-,P+V+,P+V+,⚠️ 頂部背離,多頭,頭頭高·底底高,,,46766665,25287433,28301.3,179155781.0,17640002.0,-801334.0,195994449.0,10015.3,12.0,14.0,13.0,15.0,
